type,name,industry,program,role,gender,commitment,completed
judge,27-user@example.com,High Tech,Boston,Executive,male,10,10
judge,28-user@example.com,General,Boston,Executive,male,10,9
judge,42-user@example.com,General,Boston,Investor,male,10,10
judge,53-user@example.com,Energy / Clean Tech,Boston,Investor,male,10,5
judge,57-user@example.com,High Tech,Boston,Lawyer,male,10,9
judge,71-user@example.com,Social Impact,Boston,Investor,male,20,19
judge,73-user@example.com,General,Boston,Executive,male,20,20
judge,82-user@example.com,General,Boston,Other,male,10,10
judge,112-user@example.com,General,Boston,Executive,male,10,10
judge,140-user@example.com,General,Boston,Executive,male,10,10
judge,161-user@example.com,General,Boston,Executive,male,20,0
judge,166-user@example.com,General,Boston,Investor,female,30,15
judge,167-user@example.com,High Tech,Boston,Investor,male,30,30
judge,174-user@example.com,General,Boston,Investor,male,30,30
judge,176-user@example.com,General,Boston,Investor,female,30,30
judge,178-user@example.com,General,Boston,Investor,female,20,20
judge,182-user@example.com,High Tech,Boston,Investor,male,50,19
judge,183-user@example.com,General,Boston,Investor,female,10,10
judge,201-user@example.com,General,Boston,Other,female,30,29
judge,265-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,10,10
judge,266-user@example.com,Healthcare / Life Sciences,Boston,Other,male,20,20
judge,269-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,10,10
judge,282-user@example.com,Healthcare / Life Sciences,Boston,Executive,female,40,40
judge,286-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,40,40
judge,288-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,30,29
judge,305-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,10,10
judge,316-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,10,10
judge,320-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,20,20
judge,333-user@example.com,Healthcare / Life Sciences,Boston,Lawyer,female,20,20
judge,381-user@example.com,Energy / Clean Tech,Boston,Executive,male,10,10
judge,383-user@example.com,High Tech,Boston,Executive,male,20,20
judge,386-user@example.com,High Tech,Boston,Executive,male,40,19
judge,389-user@example.com,High Tech,Boston,Executive,male,30,30
judge,390-user@example.com,High Tech,Boston,Executive,male,20,20
judge,392-user@example.com,High Tech,Boston,Executive,male,30,9
judge,398-user@example.com,High Tech,Boston,Executive,female,10,10
judge,405-user@example.com,High Tech,Boston,Executive,male,30,10
judge,410-user@example.com,High Tech,Boston,Executive,male,10,10
judge,420-user@example.com,High Tech,Boston,Executive,male,10,8
judge,443-user@example.com,High Tech,Boston,Investor,male,20,19
judge,446-user@example.com,High Tech,Boston,Executive,male,20,18
judge,455-user@example.com,High Tech,Boston,Executive,male,20,20
judge,461-user@example.com,High Tech,Boston,Executive,male,30,30
judge,467-user@example.com,High Tech,Boston,Executive,male,20,20
judge,471-user@example.com,High Tech,Boston,Executive,male,40,40
judge,475-user@example.com,High Tech,Boston,Executive,male,20,2
judge,497-user@example.com,High Tech,Boston,Executive,male,10,10
judge,504-user@example.com,High Tech,Boston,Executive,male,40,0
judge,514-user@example.com,High Tech,Boston,Investor,male,30,30
judge,525-user@example.com,High Tech,Boston,Investor,female,30,29
judge,533-user@example.com,High Tech,Boston,Executive,male,20,10
judge,535-user@example.com,High Tech,Boston,Executive,male,10,10
judge,541-user@example.com,High Tech,Boston,Executive,male,10,6
judge,595-user@example.com,High Tech,Boston,Executive,female,10,10
judge,597-user@example.com,High Tech,Boston,Investor,male,30,30
judge,601-user@example.com,High Tech,Boston,Investor,male,20,20
judge,602-user@example.com,High Tech,Boston,Investor,male,20,18
judge,605-user@example.com,High Tech,Boston,Investor,male,10,10
judge,606-user@example.com,High Tech,Boston,Investor,male,40,40
judge,608-user@example.com,High Tech,Boston,Investor,male,64,57
judge,611-user@example.com,High Tech,Boston,Investor,male,20,20
judge,627-user@example.com,High Tech,Boston,Investor,male,10,5
judge,643-user@example.com,High Tech,Boston,Investor,male,30,28
judge,652-user@example.com,High Tech,Boston,Investor,female,30,5
judge,657-user@example.com,High Tech,Boston,Investor,male,10,10
judge,669-user@example.com,High Tech,Boston,Executive,male,30,30
judge,671-user@example.com,High Tech,Boston,Investor,male,10,10
judge,675-user@example.com,High Tech,Boston,Investor,male,30,30
judge,684-user@example.com,High Tech,Boston,Lawyer,male,10,10
judge,686-user@example.com,High Tech,Boston,Lawyer,male,20,6
judge,687-user@example.com,High Tech,Boston,Lawyer,male,10,10
judge,690-user@example.com,High Tech,Boston,Lawyer,male,10,0
judge,691-user@example.com,High Tech,Boston,Lawyer,male,20,20
judge,702-user@example.com,High Tech,Boston,Lawyer,female,10,10
judge,711-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,20,10
judge,714-user@example.com,High Tech,Boston,Lawyer,male,10,10
judge,715-user@example.com,High Tech,Boston,Lawyer,male,20,20
judge,739-user@example.com,High Tech,Boston,Lawyer,prefer not to state,30,29
judge,740-user@example.com,High Tech,Boston,Lawyer,male,10,10
judge,754-user@example.com,High Tech,Boston,Executive,male,100,99
judge,756-user@example.com,High Tech,Boston,Other,female,10,4
judge,759-user@example.com,High Tech,Boston,Executive,male,20,20
judge,824-user@example.com,Social Impact,Boston,Executive,male,20,20
judge,844-user@example.com,Social Impact,Boston,Investor,female,20,20
judge,845-user@example.com,Social Impact,Boston,Executive,male,10,10
judge,862-user@example.com,Social Impact,Boston,Other,male,30,30
judge,875-user@example.com,Energy / Clean Tech,Boston,Executive,male,10,6
judge,915-user@example.com,Social Impact,Boston,Investor,female,20,20
judge,938-user@example.com,General,Boston,Executive,male,10,2
judge,1032-user@example.com,High Tech,Boston,Executive,male,30,30
judge,1440-user@example.com,Social Impact,Boston,Executive,male,10,10
judge,1874-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,10,10
judge,2352-user@example.com,High Tech,Boston,Executive,male,20,20
judge,2381-user@example.com,General,Boston,Executive,male,10,10
judge,2452-user@example.com,High Tech,Boston,Investor,male,10,9
judge,2531-user@example.com,Healthcare / Life Sciences,Boston,Investor,male,20,20
judge,2747-user@example.com,High Tech,Boston,Executive,male,20,20
judge,3386-user@example.com,General,Boston,Other,female,10,10
judge,4040-user@example.com,High Tech,Boston,Executive,male,30,30
judge,4065-user@example.com,General,Boston,Executive,male,10,10
judge,4067-user@example.com,General,Boston,Executive,female,10,10
judge,4069-user@example.com,High Tech,Boston,Executive,male,30,30
judge,4089-user@example.com,General,Boston,Executive,female,10,6
judge,4098-user@example.com,Social Impact,Boston,Executive,female,10,10
judge,4169-user@example.com,Healthcare / Life Sciences,Boston,Investor,female,10,10
judge,4251-user@example.com,Healthcare / Life Sciences,Boston,Lawyer,male,60,52
judge,4253-user@example.com,High Tech,Boston,Executive,male,10,0
judge,4584-user@example.com,High Tech,Israel,Executive,male,20,20
judge,4614-user@example.com,General,Boston,Executive,male,40,40
judge,4634-user@example.com,General,Boston,Executive,male,20,15
judge,4734-user@example.com,High Tech,Boston,Executive,male,30,25
judge,4896-user@example.com,Social Impact,Boston,Executive,female,20,15
judge,4959-user@example.com,General,Boston,Other,male,10,10
judge,5163-user@example.com,General,Boston,Executive,female,10,10
judge,5220-user@example.com,Energy / Clean Tech,Boston,Executive,male,10,10
judge,5390-user@example.com,High Tech,Boston,Executive,female,20,20
judge,5911-user@example.com,Energy / Clean Tech,Boston,Investor,male,10,10
judge,5921-user@example.com,General,Boston,Other,female,20,10
judge,5956-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,30,20
judge,7814-user@example.com,High Tech,Israel,Executive,male,10,10
judge,8213-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,10,10
judge,8416-user@example.com,General,Boston,Lawyer,male,10,10
judge,8466-user@example.com,General,Boston,Other,female,10,10
judge,8713-user@example.com,High Tech,Boston,Executive,female,20,5
judge,9091-user@example.com,High Tech,Israel,Investor,male,20,20
judge,9169-user@example.com,Social Impact,Israel,Other,male,10,10
judge,9191-user@example.com,General,Israel,Investor,male,20,11
judge,9207-user@example.com,High Tech,Israel,Investor,male,10,10
judge,9217-user@example.com,High Tech,Boston,Executive,male,10,9
judge,9241-user@example.com,High Tech,Israel,Other,female,10,3
judge,9522-user@example.com,General,Boston,Executive,male,10,0
judge,9523-user@example.com,Healthcare / Life Sciences,Boston,Executive,male,30,20
judge,9766-user@example.com,Energy / Clean Tech,Boston,Investor,male,10,8
judge,9795-user@example.com,High Tech,Boston,Executive,male,20,19
judge,9855-user@example.com,Healthcare / Life Sciences,Israel,Other,male,10,10
judge,10400-user@example.com,High Tech,Israel,Executive,male,10,10
judge,10641-user@example.com,High Tech,Boston,Other,male,40,40
judge,11058-user@example.com,Healthcare / Life Sciences,Boston,Investor,male,10,10
judge,11071-user@example.com,High Tech,Boston,Investor,male,10,10
judge,11591-user@example.com,Healthcare / Life Sciences,Boston,Other,female,10,10
judge,11903-user@example.com,General,Boston,Other,female,40,15
judge,12190-user@example.com,High Tech,Israel,Executive,male,10,10
judge,12192-user@example.com,High Tech,Israel,Other,female,10,0
